;20;50;100;500;1000;5000;10000;50000
RLS-R (3);870;245;18;0;0;0;0;0
RLS-R (4);854;178;11;0;0;0;0;0
(1+1) EA (2/n);881;226;15;0;0;0;0;0
(1+1) EA (3/n);875;172;8;0;0;0;0;0
pmut (-1.75);862;214;21;0;0;0;0;0
pmut (-2.0);873;223;33;0;0;0;0;0

;20;50;100;500;1000;5000;10000;50000
RLS-R (3);262;468;447;282;274;308;336;462
RLS-R (4);257;535;446;318;317;338;368;479
(1+1) EA (2/n);275;560;499;347;333;370;399;509
(1+1) EA (3/n);285;582;520;394;395;420;449;524
pmut (-1.75);292;553;511;358;361;368;372;424
pmut (-2.0);273;559;482;309;307;323;344;419

;20;50;100;500;1000;5000;10000;50000
RLS-R (3);556;834;522;282;274;308;336;462
RLS-R (4);549;788;492;318;317;338;368;479
(1+1) EA (2/n);561;876;561;347;333;370;399;509
(1+1) EA (3/n);560;819;553;394;395;420;449;524
pmut (-1.75);557;854;597;358;361;368;372;424
pmut (-2.0);558;871;618;309;307;323;344;419

