879;1
880;0
881;0
882;0
883;0
884;0
885;0
886;1
887;0
888;0
889;0
890;1
891;0
892;0
893;0
894;0
895;0
896;2
897;0
898;0
899;1
900;0
901;0
902;0
903;3
904;0
905;0
906;1
907;1
908;0
909;1
910;2
911;1
912;0
913;0
914;3
915;0
916;4
917;7
918;3
919;4
920;5
921;5
922;2
923;3
924;6
925;2
926;9
927;6
928;7
929;8
930;4
931;10
932;11
933;11
934;6
935;15
936;7
937;13
938;10
939;14
940;13
941;20
942;24
943;19
944;21
945;33
946;19
947;27
948;17
949;29
950;32
951;37
952;41
953;38
954;45
955;44
956;58
957;51
958;59
959;41
960;46
961;67
962;52
963;69
964;64
965;67
966;69
967;79
968;99
969;82
970;79
971;60
972;89
973;90
974;90
975;94
976;93
977;94
978;99
979;118
980;128
981;124
982;118
983;99
984;130
985;112
986;114
987;118
988;126
989;141
990;108
991;128
992;120
993;124
994;155
995;126
996;133
997;126
998;117
999;116
1000;145
1001;133
1002;139
1003;123
1004;153
1005;130
1006;145
1007;142
1008;116
1009;124
1010;113
1011;127
1012;100
1013;126
1014;127
1015;113
1016;112
1017;115
1018;124
1019;111
1020;111
1021;90
1022;95
1023;110
1024;93
1025;99
1026;105
1027;83
1028;96
1029;101
1030;76
1031;68
1032;68
1033;76
1034;78
1035;60
1036;67
1037;45
1038;51
1039;73
1040;55
1041;52
1042;45
1043;45
1044;33
1045;38
1046;46
1047;51
1048;35
1049;40
1050;24
1051;32
1052;33
1053;27
1054;28
1055;21
1056;25
1057;20
1058;16
1059;18
1060;10
1061;11
1062;26
1063;12
1064;9
1065;11
1066;8
1067;11
1068;12
1069;8
1070;14
1071;6
1072;8
1073;8
1074;8
1075;4
1076;7
1077;4
1078;3
1079;6
1080;5
1081;6
1082;7
1083;1
1084;2
1085;6
1086;1
1087;1
1088;2
1089;3
1090;1
1091;2
1092;3
1093;0
1094;0
1095;1
1096;0
1097;0
1098;0
1099;1
1100;0
1101;0
1102;0
1103;0
1104;1
1105;1
1106;0
1107;0
1108;1
1109;0
1110;1
1111;0
1112;0
1113;0
1114;0
1115;0
1116;0
1117;0
1118;0
1119;0
1120;0
1121;0
